Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore
1680192000000,1789.41,1791.82,1763.0,1781.62,103564.6994,1680206399999,184077060.56584600,141315,52838.79210000,93916558.93541000,0
1680206400000,1781.63,1800.0,1779.1,1793.61,64664.558,1680220799999,115819909.66500900,117709,35603.28830000,63768106.19851400,0
1680220800000,1793.6,1817.99,1789.42,1803.22,76949.5233,1680235199999,138897293.29474200,130719,40293.49880000,72738585.76249700,0
1680235200000,1803.23,1808.5,1777.91,1795.23,69473.6113,1680249599999,124631940.87958300,124774,31531.28280000,56573044.17327800,0
1680249600000,1795.23,1799.72,1786.17,1792.89,58379.7379,1680263999999,104662169.36912800,129799,30862.97320000,55329069.03937900,0
1680264000000,1792.9,1847.28,1790.56,1830.6,200463.5967,1680278399999,366347168.34785800,295214,110773.87180000,202406994.57709900,0
1680278400000,1830.6,1834.64,1818.09,1829.22,80944.6188,1680292799999,147787868.88972100,109112,42592.98470000,77766501.34549700,0
1680292800000,1829.23,1830.03,1813.95,1821.52,68314.3882,1680307199999,124570496.24422200,113338,33135.14370000,60422968.04437700,0
1680307200000,1821.52,1842.83,1819.61,1825.99,50583.5026,1680321599999,92495633.28537900,116143,26946.89420000,49277386.40587700,0
1680321600000,1825.99,1829.67,1812.12,1823.46,51855.7774,1680335999999,94487530.96655800,120677,26348.21590000,48005966.08911400,0
1680336000000,1823.47,1828.66,1821.07,1824.04,44428.9687,1680350399999,81110204.83681400,97221,22617.92640000,41292948.21686200,0
1680350400000,1824.04,1827.13,1814.22,1820.38,51049.1631,1680364799999,93009149.96614500,96732,23771.50030000,43313667.59893000,0
1680364800000,1820.38,1824.33,1807.81,1814.76,44469.8734,1680379199999,80794736.83635900,80866,21357.12260000,38795065.66080500,0
1680379200000,1814.76,1825.72,1814.47,1820.79,30517.6822,1680393599999,55563372.18493600,67620,17901.15450000,32593097.02358300,0
1680393600000,1820.8,1823.61,1809.73,1817.68,37822.8585,1680407999999,68649210.68066800,83949,20215.41730000,36688794.36342800,0
