Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore
1683043200000,22.19,22.38,22.09,22.29,442102.58,1683057599999,9833325.67050000,15948,231172.29000000,5142903.17970000,0
1683057600000,22.3,22.35,22.16,22.25,358394.98,1683071999999,7978663.75060000,9617,178037.22000000,3964274.61260000,0
1683072000000,22.25,22.27,21.75,21.89,484563.64,1683086399999,10642237.40880000,17538,198072.10000000,4348771.84160000,0
1683086400000,21.89,22.01,21.6,21.75,484817.28,1683100799999,10569613.45590000,15120,231073.33000000,5038254.05860000,0
1683100800000,21.74,21.85,21.34,21.41,557328.71,1683115199999,12044597.22670000,19772,269567.66000000,5827193.98980000,0
1683115200000,21.4,21.52,21.23,21.33,806941.91,1683129599999,17246518.73170000,24244,405180.69000000,8659645.34090000,0
1683129600000,21.32,21.72,21.27,21.4,951487.18,1683143999999,20468601.55180000,31919,480453.17000000,10336238.75390000,0
1683144000000,21.41,22.3,21.39,22.24,896836.56,1683158399999,19712300.15770000,29890,496796.80000000,10918060.36990000,0
1683158400000,22.24,22.49,22.13,22.24,572061.19,1683172799999,12767143.74450000,19367,294333.66000000,6570473.77880000,0
1683172800000,22.23,22.35,22.1,22.12,257185.7,1683187199999,5720283.60110000,10455,123619.78000000,2751011.54810000,0
1683187200000,22.11,22.45,22.08,22.24,340246.88,1683201599999,7574946.55810000,13511,161873.20000000,3604761.14160000,0
1683201600000,22.25,22.33,21.76,21.82,766575.66,1683215999999,16832581.66110000,27692,346658.44000000,7609695.28030000,0
1683216000000,21.81,21.92,21.61,21.75,390438.91,1683230399999,8491466.98660000,17676,189309.59000000,4118552.85730000,0
1683230400000,21.75,21.8,21.62,21.74,203127.22,1683244799999,4408516.44360000,7096,103033.12000000,2236979.16520000,0
1683244800000,21.74,22.12,21.67,21.9,430174.02,1683259199999,9433180.86730000,13559,217281.44000000,4763393.91270000,0
1683259200000,21.9,22.01,21.66,21.79,367972.71,1683273599999,8030543.59450000,11860,167097.98000000,3646287.48400000,0
1683273600000,21.78,22.04,21.77,22.01,272029.48,1683287999999,5957028.16800000,10447,142518.02000000,3121463.44710000,0
1683288000000,22.02,22.49,21.56,22.32,1022544.48,1683302399999,22592832.71260000,37483,538829.80000000,11918317.16190000,0
1683302400000,22.32,22.95,22.31,22.87,1128484.58,1683316799999,25558707.83520000,39828,591000.05000000,13388079.50970000,0
1683316800000,22.88,23.07,22.76,22.82,415198.8,1683331199999,9505741.39340000,19799,206724.69000000,4734095.07900000,0
1683331200000,22.82,23.23,22.64,22.72,543739.68,1683345599999,12460176.57000000,25418,277107.69000000,6353278.75690000,0
1683345600000,22.72,22.8,22.54,22.64,355089.89,1683359999999,8041148.71150000,13460,163491.01000000,3702473.80640000,0
